case_id,hypothesis,evidence_for,status,decision,result
RC1,H1 seller count collapse,Final tail reports nan active sellers versus 1278 in 2018-08.,Inconclusive as a business collapse,gate executive reporting on completeness,Inconclusive as a business collapse
RC1,H2 seller productivity collapse,Observed GMV per seller is not interpretable in the four-order tail.,Rejected as the primary explanation,do not escalate commercial action from the tail,Rejected as the primary explanation
RC1,H3 AOV collapse,"Tail AOV is 0.00, driven by four orders.",Rejected as a headline explanation,flag partial periods,Rejected as a headline explanation
RC1,H4 data incompleteness,The last observed months fail the documented complete-month rule.,Confirmed measurement issue,enforce a period-completeness gate,Confirmed measurement issue
RC2,H1 optimize raw MQL volume alone,"MQL volume and conversion rank different origins; social contributes 1,350 MQLs but converts at 5.6%.",Rejected hypothesis,use a multidimensional channel scorecard,Rejected hypothesis
RC2,H2 origin is associated with conversion,Global origin test and FDR-adjusted pairwise tests provide evidence of conversion differences.,Plausible contributor,separate acquisition efficiency from retention claims,Plausible contributor
RC2,H3 origin-specific retention advantage is established,M3 retention CI table is eligibility-aware.,Rejected by current evidence,do not optimize channels on M3 retention alone,Rejected by current evidence
RC3,H1 seller onboarding has a long time-to-value,The eligibility-aware fixed-window table and right-censored survival curve show delayed first sale among activation-eligible sellers.,Supported business signal,instrument 7/30/60-day onboarding checkpoints,Supported business signal
RC3,H2 faster activation is associated with stronger M3 retention,M3 retention rates decline across activation-speed buckets after the small ≤7d bucket.,Plausible contributor,test onboarding interventions with retention as guardrail,Plausible contributor
RC3,H3 origin alone explains activation speed,Activation speed varies by origin in the CI table.,Inconclusive,target the onboarding journey rather than a channel proxy,Inconclusive
RC4,H1 marketplace value is concentrated,Lorenz/Gini and top-share statistics show a long-tailed seller distribution.,Supported risk signal,monitor top 1/5/10/20% shares,Supported risk signal
RC4,H2 generic seller diversification is the right immediate action,High concentration creates dependency risk.,Rejected as a generic action,target categories with high GMV and weak seller breadth,Rejected as a generic action
RC4,H3 concentration is stable across time and segments,Monthly and category concentration tables permit the check.,Inconclusive until monitoring is refreshed,"use a monitoring trigger, not an arbitrary threshold",Inconclusive until monitoring is refreshed
RC5,H1 delivery lateness is associated with customer-experience deterioration,Mean review penalty is -1.73 points and low-review risk ratio is 5.87x.,Supported business mechanism,prioritize operational investigation by volume × severity × penalty,Supported business mechanism
RC5,H2 delay severity has a dose-response pattern,Severity buckets retain monotonic operational detail and show the late tail's weaker review outcomes.,Plausible contributor,investigate severity bands before a broad rollout,Plausible contributor
RC5,H3 one seller is the root cause,Seller-level responsibility is not available for multi-seller orders without attribution assumptions.,Rejected hypothesis,do not assign seller blame from this dataset,Rejected hypothesis
RC6,H1 category demand/GMV deterioration,"The category is selected using material GMV, sufficient orders and complete-month decline.",Plausible contributor,build a category-specific diagnostic plan,Plausible contributor
RC6,H2 orders versus AOV explains the category movement,"Category tables separate GMV, orders and AOV/productivity proxies.",Supported diagnostic path,choose an intervention only after driver split,Supported diagnostic path
RC6,H3 seller breadth/productivity explains the decline,Active sellers and GMV per seller are tracked by category.,Inconclusive until drilldown,monitor category seller breadth and productivity,Inconclusive until drilldown
RC6,H4 category experience explains the decline,Category late rate and review metrics are available for further investigation.,Inconclusive,keep CX in the category decision card as a guardrail,Inconclusive
