month,gmv_proxy,orders,active_customers,active_sellers,aov,seller_productivity,is_complete_month
2016-09,267.36,4,4,3.0,66.84,89.12,False
2016-10,49507.66,324,321,143.0,152.80141975308644,346.2074125874126,True
2016-12,10.9,1,1,1.0,10.9,10.9,False
2017-01,120312.87,800,765,227.0,150.3910875,530.0126431718062,True
2017-02,247303.02,1780,1755,427.0,138.9342808988764,579.163981264637,True
2017-03,374344.3,2682,2642,499.0,139.57654735272183,750.1889779559118,True
2017-04,359927.23,2404,2372,506.0,149.7201455906822,711.3186363636363,True
2017-05,506071.14,3700,3625,583.0,136.7759837837838,868.0465523156089,True
2017-06,433038.6,3245,3180,539.0,133.44795069337442,803.4111317254174,True
2017-07,498031.48,4026,3947,606.0,123.7037953303527,821.8341254125412,True
2017-08,573971.68,4331,4246,708.0,132.52636342646042,810.6944632768362,True
2017-09,624401.6900000001,4285,4212,731.0,145.71801400233375,854.1746785225719,True
2017-10,664219.43,4631,4561,776.0,143.4289419131937,855.9528737113403,True
2017-11,1010271.37,7544,7430,965.0,133.9172017497349,1046.9133367875647,True
2017-12,743914.17,5673,5603,861.0,131.13241142252778,864.01181184669,True
2018-01,950030.36,7269,7166,970.0,130.69615628009353,979.4127422680413,True
2018-02,844178.71,6728,6569,947.0,125.47245986920332,891.42419218585,True
2018-03,983213.4400000001,7211,7115,996.0,136.349111080294,987.1620883534138,True
2018-04,996647.75,6939,6882,1123.0,143.62988182735265,887.4868655387355,True
2018-05,996517.68,6873,6814,1115.0,144.99020515058928,893.7378295964126,True
2018-06,865124.31,6167,6128,1175.0,140.28284579211936,736.2760085106383,True
2018-07,895507.22,6292,6230,1261.0,142.32473299427843,710.1563996827914,True
2018-08,854686.33,6512,6460,1278.0,131.2479007985258,668.7686463223787,True
2018-09,145.0,16,14,1.0,9.0625,145.0,False
2018-10,0.0,4,4,,0.0,,False

