model,model_formula,n,missing_rows,pseudo_r2,coefficient,std_error,ci_low,ci_high,p_value,robust_se,multicollinearity_check,separation_check,leverage_check,estimate,odds_ratio
low_review_adjusted_glm,low_review ~ delay_days + category + customer_state + log(order_value+1) + freight_ratio + purchase_month,95830,0,0.1068124278677097,const,1403.6983512872334,9.357622968840177e-14,10686474581524.465,0.9904409928463412,HC3,dummy encoding; inspect design rank,GLM convergence reported by statsmodels,not influential at aggregate decision grain,,
low_review_adjusted_glm,low_review ~ delay_days + category + customer_state + log(order_value+1) + freight_ratio + purchase_month,95830,0,0.1068124278677097,delay_days,0.001722246727326,1.0760531977917596,1.0833422993479542,0.0,HC3,dummy encoding; inspect design rank,GLM convergence reported by statsmodels,not influential at aggregate decision grain,,
low_review_adjusted_glm,low_review ~ delay_days + category + customer_state + log(order_value+1) + freight_ratio + purchase_month,95830,0,0.1068124278677097,log_order_value,0.0182354093838193,1.3368395348938764,1.4358970321299964,1.688539434426528e-71,HC3,dummy encoding; inspect design rank,GLM convergence reported by statsmodels,not influential at aggregate decision grain,,
low_review_adjusted_glm,low_review ~ delay_days + category + customer_state + log(order_value+1) + freight_ratio + purchase_month,95830,0,0.1068124278677097,freight_ratio,0.0690317375066312,1.785786670086514,2.340719751735214,3.77536321590836e-25,HC3,dummy encoding; inspect design rank,GLM convergence reported by statsmodels,not influential at aggregate decision grain,,
low_review_adjusted_glm,low_review ~ delay_days + category + customer_state + log(order_value+1) + freight_ratio + purchase_month,95830,0,0.1068124278677097,category_model_automotivo,0.0594824408440598,0.9397100375969324,1.1864705332748635,0.3604292107882885,HC3,dummy encoding; inspect design rank,GLM convergence reported by statsmodels,not influential at aggregate decision grain,,
low_review_adjusted_glm,low_review ~ delay_days + category + customer_state + log(order_value+1) + freight_ratio + purchase_month,95830,0,0.1068124278677097,category_model_bebes,0.0645131922572003,1.0469862727479124,1.3482438415281122,0.0075469972878013,HC3,dummy encoding; inspect design rank,GLM convergence reported by statsmodels,not influential at aggregate decision grain,,
low_review_adjusted_glm,low_review ~ delay_days + category + customer_state + log(order_value+1) + freight_ratio + purchase_month,95830,0,0.1068124278677097,category_model_beleza_saude,0.0460635939560055,0.8956311075425746,1.0728721548821,0.6650441083080207,HC3,dummy encoding; inspect design rank,GLM convergence reported by statsmodels,not influential at aggregate decision grain,,
low_review_adjusted_glm,low_review ~ delay_days + category + customer_state + log(order_value+1) + freight_ratio + purchase_month,95830,0,0.1068124278677097,category_model_brinquedos,0.0605694575044827,0.8924488900610826,1.1316105432709305,0.9351557744836396,HC3,dummy encoding; inspect design rank,GLM convergence reported by statsmodels,not influential at aggregate decision grain,,
low_review_adjusted_glm,low_review ~ delay_days + category + customer_state + log(order_value+1) + freight_ratio + purchase_month,95830,0,0.1068124278677097,category_model_cama_mesa_banho,0.0428561537720907,1.3339803717766212,1.5780032301208424,3.820172661565345e-18,HC3,dummy encoding; inspect design rank,GLM convergence reported by statsmodels,not influential at aggregate decision grain,,
low_review_adjusted_glm,low_review ~ delay_days + category + customer_state + log(order_value+1) + freight_ratio + purchase_month,95830,0,0.1068124278677097,category_model_cool_stuff,0.0635208485831406,0.8155463902533756,1.0461326542400506,0.2113148641596838,HC3,dummy encoding; inspect design rank,GLM convergence reported by statsmodels,not influential at aggregate decision grain,,
